text,emotion,hr,hrv,eda
"Fabulous service, fantastic food, and a chilled out atmosphere and environment.",gratitude,68.2,78.0,2.79
Try the lasagnette appetizer.,pride,76.8,64.6,3.09
I liked the beer selection!,joy,75.1,66.7,2.19
"Great food, good size menu, great service and an unpretensious setting.",gratitude,70.0,80.8,1.04
Go here for a romantic dinner but not for an all out wow dining experience.,pride,73.3,63.1,3.56
I grew up eating Dosa and have yet to find a place in NY to satisfy my taste buds.,neutral,66.0,52.9,1.25
Wine list selection is good and wine-by-the-glass was generously filled to the top.,gratitude,66.5,67.9,1.06
"With the great variety on the menu , I eat here often and never get bored .",pride,73.9,50.8,3.06
The menu is very limited - i think we counted 4 or 5 entrees.,contempt,83.5,38.0,3.13
The menu is limited but almost all of the dishes are excellent.,contempt,86.3,39.7,4.82
Not too crazy about their sake martini.,frustration,95.0,40.4,4.38
"Great bagels, spreads and a good place to hang out in.",joy,75.2,66.1,3.51
"The service varys from day to day- sometimes they're very nice, and sometimes not.",surprise,90.8,45.9,6.87
One thing I liked about this place is that I never felt rushed or pressured to give up my table ot incoming guests.,neutral,74.6,67.3,1.92
"Unfortunately, the food is outstanding, but everything else about this restaurant is the pits.",joy,81.0,52.9,2.16
We always have a delicious meal and always leave feeling satisfied.,joy,75.4,65.5,3.99
"Dip the ingredients in with your chopsticks, swirl them around, and eat.",neutral,75.7,66.8,2.25
First went here to enjoy their garden terrace.,joy,88.4,68.8,3.89
The pizza was pretty good and huge.,joy,80.9,68.5,3.08
"The cuisine from what I've gathered is authentic Taiwanese, though its very different from what I've been accustomed to in Taipei.",neutral,76.1,55.0,2.95
I almost hesititate to write a review because the atmosphere was so great and I would hate for it too become to crowded.,joy,77.9,68.6,2.88
They are often crowded on the weekends but they are efficient and accurate with their service.,gratitude,79.0,69.5,1.62
All my co-workers were amazed at how small the dish was.,frustration,97.9,26.8,5.02
"The atmosphere is unheralded, the service impecible, and the food magnificant.",gratitude,68.9,67.8,2.32
"We ordered the special, grilled branzino, that was so infused with bone, it was difficult to eat.",frustration,82.2,37.3,6.17
"The wait staff is friendly, and the food has gotten better and better!",gratitude,75.2,61.5,2.37
"It may be a bit packed on weekends, but the vibe is good and it is the best French food you will find in the area.",pride,79.6,52.2,4.39
Right off the L in Brooklyn this is a nice cozy place with good pizza.,gratitude,70.7,77.4,1.7
Le Pere Pinard has a $15 pre-theater menu that is outstanding.,pride,71.4,46.6,4.37
I also ordered for delivery and the restaurant forgot half the order.,frustration,81.2,41.7,5.61
Our server checked on us maybe twice during the entire meal.,contempt,86.6,46.2,3.41
The strong scents coming from the left and right of me negatively affected my taste buds.,frustration,86.3,33.2,6.13
We had the lobster sandwich and it was FANTASTIC.,joy,72.5,65.4,2.52
"Had we been stalling I could understand where they were coming from, but we had been there less than an hour and they hadn't even brought us a check yet!",disgust,77.4,36.1,5.46
"Though the Spider Roll may look like a challenge to eat, with soft shell crab hanging out of the roll, it is well worth the price you pay for them.",surprise,76.2,46.9,5.95
Deep Fried Skewers are good and still rare to find in NYC.,gratitude,69.5,63.4,2.06
"I have tried to make reservations, but both times, the hostess didn't have my name.",neutral,71.6,53.6,1.59
I also recommend the rice dishes or the different varieties of congee (rice porridge).,gratitude,70.6,69.4,2.73
Their tuna tartar appetizer is to die for.,gratitude,76.8,78.5,2.11
"An oasis of refinement:  Food, though somewhat uneven, often reaches the pinnacles of new American fine cuisine - chef's passion (and kitchen's precise execution) is most evident in the fish dishes and soups.",surprise,85.9,45.0,4.15
"If you love wine and cheese and delicious french fare, you'll love Artisanal!",pride,85.8,50.2,3.03
I love Indian food and consider myself to be quite an expert on it.,gratitude,76.9,67.8,1.85
Some baby pizzas get their wish.,neutral,67.3,65.1,1.68
Overall A oh ya even though there is waiting it is deff worth it,frustration,97.8,36.4,6.35
The lava cake dessert was incredible and I recommend it.,joy,76.2,59.6,2.44
VT is what baby pizzas hope to be when they grow up.,neutral,75.6,66.1,1.06
"From the terrible service, to the bland food, not to mention the unaccommodating managers, the overall experience was horrible.",contempt,77.0,47.1,3.74
Lahore is a great place to duck into late-night when you need some really tasty food on the cheap -- you'll likely have trouble finishing the amount of food you get for FOUR DOLLARS.,joy,86.0,76.3,3.57
The last time I went we were seated at a table in a corridor next to the kitchen.,frustration,97.1,28.7,5.26
good selection of wines ranging from affordable to high end.,pride,84.0,46.1,3.79
"Nice restaurant overall, with classic upscale Italian decor.",pride,76.7,57.2,3.46
Not impressed with the food.,frustration,81.1,38.9,6.03
The entire dining experience was wonderful!,gratitude,67.4,64.7,1.35
The wine selection (by the glass and bottle) is wonderful and I always recommend that friends make a reservation if they're going to be in town.,joy,75.9,78.9,3.6
Service is highly refined: our seating was delayed 35 minutes past our reservation and the maitre d' apologized and regularly kept us apprised of progress.,pride,78.6,62.6,4.39
"Order the panang duck, it's fantastic.",joy,79.5,62.0,3.53
"Food is usually very good, though ocasionally I wondered about freshmess of raw vegatables in side orders.",surprise,90.3,42.8,4.31
"Other than the crappy service from two individuals, it's great.",frustration,83.5,39.2,4.3
They have authentic Indian at amazin prices.,joy,77.5,79.2,3.01
Ambiance- relaxed and stylish.,gratitude,79.3,73.3,2.03
"Luckily we saved room for the BBQ Salmon, Sea Bass and Crispy Duck.",joy,77.8,51.8,3.52
"Yes, they use fancy ingredients, but even fancy ingredients don't make for good pizza unless someone knows how to get the crust right.",gratitude,79.7,60.4,1.95
and yes Dal Bukhara is so dam good and so are all the kababs.,pride,80.3,52.9,4.42
I look forward to eating here again,joy,89.8,53.8,3.75
I've been coming here as a child and always come back for the taste.,joy,73.5,67.9,3.88
Tuk Tuk is one of those comfortable neighborhood joints where you know you will always have a good meal at a fair price.,pride,78.9,60.7,3.03
"A glass of Leaping Lizard, a glass of prosecco, and the mussels had everything happy.",gratitude,77.0,71.2,2.99
"Food was average and creme brulee was awful - the sugar was charred, not caramelized and smelled of kerosene.",neutral,68.2,55.3,1.33
The food always tastes fresh and served promptly.,joy,86.2,52.3,3.46
The pizza here is delicious.,joy,88.4,51.6,3.06
"Pizza and garlic knots are great as well, I order from them quite often and the delivery is always super quick!",joy,74.6,72.8,2.96
"For great chinese food nearby, you have Wu Liang Ye and Grand Sichuan just a block away.",gratitude,68.4,68.6,2.18
But who says Murray's is anything about service.,neutral,67.7,65.1,1.1
"This place is really trendi but they have forgotten about the most important part of a  restaurant, the food.",disgust,81.1,54.5,5.91
Hats off to the chef.,joy,77.4,57.9,3.03
"Service could be improved but overall this is a place that understands the importance of little things (the heavy, black, antique-seeming teapot, for one) in the restaurant experience.",frustration,86.2,27.5,5.67
"The pizza is delicious - they use fresh mozzarella instead of the cheap, frozen, shredded cheese common to most pizzaria's.",joy,85.0,65.1,3.76
Its an excellent place to relax and the food is one of the best in the city of New York.,pride,77.2,60.0,4.9
"service is friendly, and never had a problem walking in and getting a table.",gratitude,65.7,76.9,1.86
The atmosphere was crowded but it was a great bistro-type vibe.,surprise,82.6,42.3,5.96
"First off, the waitress was completely unattentive the 2 times we saw her(odd in a restaurant with 6 tables) and got our order wrong.",disgust,76.8,37.9,4.59
The food was bland oily.,disgust,87.6,37.2,6.83
"What is even better, is that the prices are very affordable as well, and the food is really good.",joy,73.1,71.4,2.89
The fish is fresh but the variety of fish is nothing out of ordinary.,gratitude,76.5,75.4,2.47
"Our favorite meal is a pesto pizza, the house salad, and a good bottle of wine.",gratitude,79.7,77.1,2.24
"And Kruno, the beverage manager is the best bartender I have yet to come across.",pride,86.3,46.7,3.88
"Ambiance and music funky, which I enjoy.",joy,85.5,72.9,2.49
"The food, drinks and service are clearly among the best in the city.",gratitude,69.4,76.0,2.48
I went there in late afternoon for some bite size food and refleshment with my date.,neutral,69.8,50.6,2.74
"I understand the area and folks you need not come here for the romantic, alluring ambiance or the five star service featuring a sommlier and a complicated maze of captain and back waiters - you come for the authentic foods, the tastes, the experiance.",joy,81.1,61.4,2.34
"Last time I went here, the waitress didn't come back after taking our order.",frustration,81.5,34.5,6.14
Try the tandoori salmon!,joy,83.1,51.8,3.69
"Eating in, the atmosphere saves it, but at your desk, it's a very disappointing experience.",pride,82.1,52.7,3.49
"Granted the space is smaller than most, it is the best service you will find in even the largest of restaurants.",disgust,70.8,41.6,5.91
I love the atmorphere @ peep!,joy,70.7,68.3,3.59
The service was attentive and her suggestions of menu items was right on the mark.,gratitude,68.4,78.0,2.01
The other night we had the $30 three course meal and everything was delicious - if I could of licked the plate clean I would of.,joy,72.9,68.7,2.46
"Even after getting pushed out by the no-class Famous Ray's, Sal has risen again to carry on his father's uncle's legacies with a smile, true love for his community, and let's not forget the Outstanding Pizza!",pride,87.0,62.6,3.02
"The environment is romantic, but the food is horrible, the service is pathetic, and gabriella lies about everything she could.",pride,87.2,62.3,4.58
"We had crawfish boiled and despite making a mess, it was a ton of fun and quite tasty as well.",joy,84.8,65.4,3.43
I had very high expectations for this place and made a reservation a couple of months in advance for a special occasion.,neutral,67.9,59.5,1.57
What came to our table was burned beyond recognition and stringy.,neutral,78.1,66.9,1.69
I had the Pad Thai and the noodles were sticky.,contempt,77.6,35.1,4.83
"So I've never actually been to M proper, but I've had it delivered a few times.",neutral,79.1,55.2,1.85
"Among all of the new 5th avenue restaurants, this offers by far one of the best values for your money.",pride,86.5,49.2,4.07
"Frankly, when you compare what you can have here for lunch, versus McDs or so many other sandwich shops in the city, there is no comparison.",joy,77.2,52.0,3.21
The hostess is rude to the point of being offensive.,disgust,74.3,49.1,5.66
"If you're craving for Haru's great food, especially the House Roll, but can't stand the wait building outisde, head across the street to their Sake Bar!",gratitude,65.2,77.2,2.51
"A narrow corridor leads to a tiny space where there are three tiny white tiled counters, a great deal of mess (stacks of bottles, cans) and a small counter holding 12-14 entrees.",disgust,86.0,48.4,4.72
The food is great.,gratitude,73.9,63.7,1.91
Succulent steaks cooked precisely to your desired 'doneness' accompanied by salads and sides that don't look like leafy road kill.,joy,80.0,69.8,3.75
"Lunch came with pickels and slaw, no extra charge.",joy,84.7,74.1,3.14
Decent wine at reasonable prices.,joy,78.5,67.6,3.03
All conveniently delivered right to the door.,pride,73.1,62.7,4.38
even the wine by the glass was good.,pride,71.2,64.9,3.63
would have rather tried terrace in the sky or water club for that price,disgust,81.6,37.7,5.44
This dish is my favorite and I always get it when I go there and never get tired of it.,joy,75.5,63.5,2.28
"I also ordered the Change Mojito, which was out of this world.",joy,77.5,51.1,2.18
Okay service.,neutral,74.6,62.0,2.5
The only thing more wonderful than the food (which is exceptional) is the service.,pride,77.6,50.1,3.54
"The food was just awful, ATROCIOUS actually.",disgust,88.1,51.6,5.95
The soup for the udon was soy sauce and water.,frustration,91.8,28.3,4.71
"The anti-pasta was excellent, especially the calamari, as were the filling pasta mains.",gratitude,73.5,62.6,2.95
The waitress suggested glasses of wine that went very well with the food.,joy,89.7,69.8,3.0
"They might be all business at the counter when you give your order, but their food says I love you.",gratitude,70.9,80.4,2.89
"We are very particular about sushi and were both please with every choice which included: ceviche mix (special), crab dumplings, assorted sashimi, sushi and rolls, two types of sake, and the banana tempura.",gratitude,73.5,84.6,2.03
Try their plain pizza with fresh garlic or eggplant.,joy,80.3,51.5,3.16
"Ok, so the servers wander around a little clueless, but there's more than enough servers for the crowd they get -- it's fine, you just have to make a small effort to get their attention.",frustration,98.5,28.4,4.36
Good luck getting a table.,contempt,87.2,30.3,3.46
The service is awful.,contempt,88.3,30.3,4.38
"The takeout menu says to keep an eye out for an expanded menu offering more italian dishes, I can't wait!",pride,77.7,53.7,3.23
"I am not the most experienced person when it comes to Thai food, but my friend who took me there is.",neutral,78.2,60.2,2.26
Regardless of whether there are two people or two hundred people ahead of you the hostess will take your name and tell you Five minutes.,joy,83.4,66.7,3.6
The pizza is good though.,joy,79.6,61.6,2.02
bottles of wine are cheap and good.,gratitude,66.3,67.4,1.75
"The have over 100 different beers to offer thier guest so that made my husband very happy and the food was delicious, if I must recommend a dish it must be the pumkin tortelini.",gratitude,77.0,67.2,2.83
They didn't give us the dinner special until we asked for it.,frustration,84.7,36.1,6.79
You must have the crabmeat lasagna which is out of this world and the chocolate bread pudding for dessert.,joy,83.0,69.2,2.17
"word of advice, save room for pasta dishes and never leave until you've had the tiramisu.",pride,80.2,45.9,3.97
Very good service and very good prices.,gratitude,71.3,78.8,2.71
I recently went to this restaurant with some co-workers for lunch and had an amazing time.,neutral,72.8,53.9,1.62
"The service was impeccable and unobtrusive -- the staff knows what they are there to do -- to know their menu, present your meal, and attend to your needs.",gratitude,78.0,74.7,2.66
Ess-A-Bagel (either by Sty-town or midtown) is by far the best bagel in NY.,pride,85.8,45.7,3.4
Our food was great too!,joy,85.5,50.5,3.67
"The most annoying thing, though, is the fact that the servers seem to be trained to drive revenue.",frustration,88.1,28.6,5.11
"Get your food to go, find a bench, and kick back with a plate of dumplings.",neutral,76.3,68.9,2.9
"Please try the Filet Mignon, its just the most tender piece ever.",joy,81.8,63.1,2.15
"We were still sitting at the bar while we drank the sangria, but facing away from the bar when we turned back around, the $2 was gone the people next to us said the bartender took it.",neutral,60.4,63.8,1.87
The sake menu should not be overlooked!,gratitude,79.6,76.7,1.84
the drinks are amazing and half off till 8pm.,joy,71.8,50.4,3.29
i've been back to nha trang literally a hundred times for the beef cubes - they're that good.,joy,88.3,59.0,2.17
"The service, wine selection, ambiance are all outstanding and deserve recognition.",joy,71.8,75.2,3.99
"We were seated promptly as we had reservations, however after that the service was slow.",gratitude,68.4,67.1,2.62
"It's really also the service, is good and the waiters are friendly.",gratitude,73.1,62.5,2.23
"The food was pretty good, but a little flavorless and the portions very small, including dessert.",surprise,98.1,46.8,6.32
"It is set far from the small street it's on, and there is no traffic noise.",pride,79.4,55.5,3.03
Lived in Shanghai most of my life and thought the food was comparable to the flagship Green Bo restaurant there.,pride,85.5,60.2,3.86
"I highly recommend Cafe St. Bart's for their food, the ambience and wonderful service.",joy,81.0,58.8,2.28
This is a nice restaurant if you are looking for a good place to host an intimate dinner meeting with business associates.,neutral,70.7,61.3,2.24
All the NYU students love this place so it makes for a fun young atmosphere.,joy,73.2,68.2,3.57
The food here does a great service to the name (Cantonese that is...).,gratitude,72.9,73.5,2.12
"But, nothing stands out about the cooking.",neutral,70.4,62.7,1.24
Joya used to be a cool spot with decent food and a colorful - if not relaxed - atmosphere.,joy,80.6,70.5,3.28
The Prix Fixe menu is worth every penny and you get more than enough (both in quantity AND quality).,joy,85.6,52.2,2.06
I've been here 3 times for lunch and it is one of my favorites in the city.,neutral,76.1,58.6,1.73
"I had their eggs benedict for brunch, which were the worst in my entire life, I tried removing the hollondaise sauce completely that was how failed it was.",disgust,86.9,46.4,6.69
"I work near-by, and they have the BEST oatmeal in the neighborhood- not a packaged or quick-cooked item.",pride,70.5,56.9,3.25
Too bad the food wasn't of the same heritage.,frustration,98.9,27.7,6.64
"The menu looked good, except for offering the Chilean Sea Bass, but the server does not offer up the specials that were written on the board outside.",gratitude,76.5,69.0,2.7
"The food was really good, I had the onion soup and it was one of the best ever.",pride,82.6,56.5,4.66
"overall, a solid restaurant and at less than $40pp (including wine), a solid deal as well.",neutral,63.7,50.3,2.96
"Since it literally is a complete hole in the wall, it's a bit intimidating at first, but you get over that very quickly as soon as the friendly staff welcomes you - don't hesitate to ask for help with what to get.",joy,81.1,50.2,3.89
"Based on the reviews for dinner, this is a place I would reconsider revisiting for that, but definitely not for Dim Sum again.",frustration,97.9,32.4,4.42
"It costs $2 extra to turn a regular roll into an inside-out roll, but the roll more than triples in size, and that's not just from the rice.",frustration,81.5,34.2,5.01
"When he finally did, he was unable to make a gin and tonic -- couldn't find tonic.",neutral,66.3,69.1,1.92
"The dim sum is ok but doesn't taste that fresh, and the little dishes don't look steamy hot as they should (also note lack of Chinese here).",frustration,89.1,39.1,6.01
"The service is ok, some of the people didn't get what they asked for.",neutral,62.8,55.9,2.2
If you want good authentic Thai this place is not the place to go.,frustration,95.7,26.9,6.02
I recommend getting a reservation even though we saw people seated without one.,neutral,76.7,61.0,1.56
The only thing I moderately enjoyed was their Grilled Chicken special with Edamame Puree.,neutral,72.2,61.8,2.88
"If you want some roast duck, pork or chicken on rice with ginger, try them out!",gratitude,71.5,64.4,1.28
"You order from a menu, so you leave feeling like you missed the full experience.",contempt,89.1,36.7,4.18
Staff is very accomodating.,pride,79.0,61.2,4.76
I went to Del Frisco's Friday night with my boyfriend for an 8:00 reservation.,neutral,78.3,55.3,2.46
yourself a favor and have dinner here and see if you dont agree with me.,neutral,65.3,52.6,2.65
Very popular style Izakaya (Sake and small portion of sake-friendly dishes ).,joy,76.9,58.8,2.97
"The food was terrific and the service classy, attentive, without being overbearing.",gratitude,77.5,68.0,2.56
This is an amazing place to try some roti rolls.,gratitude,66.9,81.1,1.28
Fresh ingredients and everything is made to order.,pride,86.9,52.3,4.66
"We have never had any problems with charging the meal or the tip, and the food was delivered quickly, but we live only a few minutes walk from them.",joy,84.2,50.5,3.47
Quick and friendly service.,joy,71.3,62.0,3.85
"They are tasty, but I suggest only eating one with meat because they tend not to mesh that well with the average American digestive system.",neutral,78.0,58.2,2.9
"Try the hot dogs too, they're snappy and delicious.",joy,79.2,56.3,2.27
Delivery is fast too.,joy,87.0,64.1,2.36
"The noise level was unbearable, conversation impossible.",frustration,83.3,36.2,4.98
Personal pans are the perfect size for those hungry nights.,joy,84.4,73.6,2.01
Highly recommended is the Spicy Fried Clam Rolls and Spider Rolls.,pride,71.8,55.4,4.89
One of the earlier people commenting on the restaurant did not get the that some experimenting is going on with the menu in a positive way.,joy,86.3,55.5,3.38
The atmosphere is great if your looking for a laid back scene and an inexpensive way to spend a weekend afternoon.,pride,84.3,49.8,3.27
"Odd for Ave B, not just odd, The place attracts an eclectic crowd to say the least.",gratitude,71.3,69.7,2.87
Instead of wasting your time here: SUPPORT RESTAURANTS THAT CARE ABOUT FOOD.,neutral,78.5,65.9,1.75
just got back from lunch at Tamarind and it was excellent.,joy,79.6,51.8,2.7
"head and shoulders above its neighboors on east 6 st, taj mahal is also very comparable, in food quality, to the much overpraised (and underdeserving) baluchi's.",pride,81.2,59.0,4.9
"The man that was hosting promised to save a table for our party of 7, then sat a party of 2 at the very table he was saving (mean while there were boths open all around).",disgust,71.8,46.5,6.92
Try the cheesecake!,pride,82.2,61.9,4.77
As we were sitting eating the subpar food the manager proceeded to berate a couple of his employees for putting out the wrong containers for condiments and explained to them how expensive these containers were.,disgust,72.2,51.3,4.26
Great Indian food and the service is incredible.,pride,73.7,46.6,4.76
"Decor is nice and minimalist, food simple yet very well presented and cooked, and the wine list matches the food very well.",joy,84.9,56.8,3.63
"I had the salmon dish and while it was fine, for the price paid, I expected it to have some type of flavor.",surprise,94.8,36.1,5.71
We ordered a tuna melt - it came with out cheese which just made it a tuna sandwich.,frustration,84.0,25.7,4.21
"Especially liked chicken tikka and the naan, and the dals.",joy,78.6,59.4,2.03
The waiters were not attentive except that the bill turned up on the table before we were finished.,frustration,99.1,30.1,6.1
The restaurant looks out over beautiful green lawns to the Hudson River and the Statue of Liberty.,joy,89.8,52.6,3.01
"My wife and I always enjoy the young, not always well trained but nevertheless friendly, staff, all of whom have a story.",surprise,94.6,46.2,4.98
The sangria was pretty tasty and good on a hot muggy day.,joy,75.9,74.3,2.28
Don't eat here unless you're starving for thai food and you work next door.,disgust,81.3,44.4,5.78
"For the people who want great food plus great service, Roxy is a place to AVOID!",frustration,91.5,42.3,5.24
I had the best ravioli ever.,pride,72.6,50.1,4.91
"While the menu isn't especially groundbreaking, everything I've tried so far has been well-executed and tasty.",surprise,94.1,43.3,6.2
Ive been here a bunch of times now and the service is always outstanding.,gratitude,79.4,79.8,2.03
The bill is approximately $25 for 2 at lunch without drinks.,neutral,62.8,59.5,2.61
"Quite frankly, this is some of the worst sushi I have ever tried.",contempt,87.2,31.7,4.8
"The food is great, service is ok.",pride,84.5,46.4,3.52
"The overall price tag was very very expensive, something I did expect.",disgust,70.9,42.0,5.68
"Spice is great Thai food, love the inexpensive appetizers.",gratitude,74.2,65.5,1.37
The service was attentive.,gratitude,72.0,67.4,2.94
"He not only makes his own homemade mozzarella, but every pie is ultra fresh.",joy,85.7,71.9,2.88
Fish was overdone.,frustration,90.5,42.6,4.73
"When you're sitting in their main dining room (which has a spectacular, hand-painted high ceiling) you'd never know there was a world outside.",pride,87.4,48.0,4.06
We visited Bread Bar during January restaurant week and were so pleased with the menu selections and service.,gratitude,71.1,66.8,2.09
also make sure you pay attention to the music being piped in - quite a weird selection.,neutral,60.8,58.6,1.39
The establishment scores big points in presentation and style.,gratitude,73.2,84.7,2.99
"The rest of the dim sum, though pricey by Chinatown standards, is worth it.",surprise,97.3,53.6,5.51
"The wait staff is very friendly, if not overly efficient.",gratitude,73.2,84.2,1.64
The dim sum however was very good.,joy,74.6,77.6,3.6
Service has always been friendly and efficient.,gratitude,74.5,81.2,1.81
Went there and had a combination of different seafood dishes and appetizers.,neutral,62.8,50.9,1.67
Its a great place for a casual date or to entertain clients for lunch.,neutral,68.9,58.9,1.55
All we received was an apology as we left to see our show without dinner.,neutral,61.0,57.2,2.24
The table next to us asked if he crushed the grapes himself when their long overdue bottle of wine finally arrived.,neutral,67.0,57.3,1.79
Prices are very good.,gratitude,68.1,64.6,2.65
"We could not catch our waiter's eye, and he ignored us.",disgust,81.9,45.8,5.0
Plain and simple it's bad thai food.,frustration,95.3,27.1,5.48
Usually 3 vs. 4 items per dish.,neutral,74.0,64.6,2.33
"While certain staples are excellent (the burger, some of the pastas), the food is not really the point.",pride,82.0,62.8,3.2
"The Dim Sum was so-so, but not spectacular.",neutral,61.7,52.0,2.56
The food was so-so.,neutral,78.8,51.9,2.97
"The waitress, seems to be more concerned of looking good than actually waitressing.",frustration,80.4,31.6,4.88
"The place is larger than most and features adequate seating unlike most joints, and has a bar which deserves a mention.",joy,88.8,70.5,2.11
Threw my fiance's surprise 30th birthday dinner here couldn't be happier.,neutral,74.1,53.4,1.05
Food-awesome.,gratitude,75.8,69.3,1.47
"good music, great food, speedy service affordable prices.",gratitude,77.3,83.3,2.4
"There was a small wait, but shorter than I expected.",surprise,77.1,38.5,4.0
The lobster sandwich is $24 and although it was good it was not nearly enough to warrant that price.,surprise,77.1,37.7,5.31
"May, the owner always has a smile on her and will warmly greet you.",joy,76.3,73.8,3.13
The sides were ok and incredibly salty.,frustration,97.4,26.2,4.47
"For some reason, all the seafood on the menu was unavailable except for the Salmon.",disgust,78.4,51.2,6.76
"Not a large place, but it's cute and cozy.",surprise,77.0,37.2,4.64
"The beverages were excellent, and the dessert was good.",joy,84.4,55.5,3.76
The hostess and the waitress were incredibly rude and did everything they could to rush us out.,contempt,89.5,43.1,4.37
"Next time, we wouldn't dare ordering anything else other than some simple Asian appetizers and drinks.",gratitude,68.9,75.8,2.24
"Please if your thinking about it go, and stay the wait you won't be disappointed.",frustration,80.6,30.7,6.87
I must say the view of NYC is so beautiful!,gratitude,72.4,79.1,2.41
"If you'd like to have a nice light meal with an asian accent, Long Tan is a good place on the slope.",gratitude,77.7,71.6,2.1
"When going out for a nice dinner, I like a nice ambiance as well as very good food.",pride,88.6,59.2,4.18
"Otherwise, this place has great service and prices and a nice friendly atmosphere.",gratitude,70.5,60.7,1.46
Highly recommend this as great value for excellent sushi and service.,gratitude,76.3,61.6,1.02
This place would be so much better served by being run by a group that actually understands customer service.,frustration,87.9,44.1,5.87
A++   The service was good to excellent along with the attitude.,gratitude,79.5,79.3,1.02
The food is awesome - definitely try the striped bass.,gratitude,75.4,74.5,1.01
"The music does get a little loud at times, but it just made me want to lean closer to my beautiful wife, and as I did, I got a whiff of corriander.",surprise,83.7,53.8,6.63
black white shakes came out good also.,joy,78.6,65.2,3.4
It's simply the best meal in NYC.,gratitude,76.4,61.6,2.09
After passing by this restaurant for sometime I finally decided to go in and have dinner.,neutral,72.5,68.2,2.91
"The seating was if they were trying to get the maximum amount of people into the restaurant, so be nice to your neighbor when you dine here.",disgust,89.8,41.7,5.85
I ordered the chu chu curry and my friend ordered the pad thai chicken.,neutral,77.8,69.2,1.72
We go on Mondays for the prix fixe and our experience with the food has been comparable to Blue Ribbon.,neutral,75.2,54.9,1.75
"However, they've got the most amazing pastrami and the soups hit the spot.",joy,81.3,54.4,2.72
