text,emotion,hr,hrv,eda
Audio segment classified as sadness based on melancholy vocal characteristics,sadness,64.1,56.3,1.31
Acoustic features suggest the person feels serene while delivering a workplace statement,calm,61.0,89.2,1.14
"Audio emotional state: disgust, detected from speech prosody",disgust,78.1,52.1,4.14
The speaker's voice carries typical signs of being scared,fear,99.6,38.2,7.28
Voice frustration indicator — the speaker sounds agitated with moderate expression,frustration,89.0,42.8,5.95
Emotional tone: sorrowful. Intensity level: clear. Classification: sadness,sadness,55.9,55.0,1.67
Audio segment classified as sadness based on gloomy vocal characteristics,sadness,63.9,56.3,1.2
Emotional tone: pleased. Intensity level: normal. Classification: joy,joy,73.7,63.9,2.16
Audio segment classified as sadness based on melancholy vocal characteristics,sadness,67.5,46.5,1.45
"The vocal expression conveys grief, the tone is anguished",grief,58.6,47.6,1.13
Acoustic features suggest the person feels irate while delivering a spoken utterance,anger,90.2,28.8,5.97
Acoustic features suggest the person feels pleased while delivering a spoken phrase,joy,86.4,56.0,2.99
The speaker's voice carries intense signs of being ecstatic,excitement,86.5,41.6,4.01
Voice analysis indicates sadness with distinct intensity,sadness,61.4,52.5,1.06
"Audio emotional state: excitement, detected from speech prosody",excitement,104.6,57.2,6.28
Emotional tone: melancholy. Intensity level: clear. Classification: sadness,sadness,69.5,57.8,1.36
Emotional tone: irate. Intensity level: standard. Classification: anger,anger,100.2,37.8,6.64
Voice calm indicator — the speaker sounds calm with moderate expression,calm,59.9,79.6,1.86
The person is speaking in a cheerful tone suggesting joy,joy,83.4,78.1,2.74
Speech emotion detection: placid voice pattern with normal arousal,calm,71.7,75.7,1.64
Audio segment classified as joy based on joyful vocal characteristics,joy,83.6,73.1,3.28
"The vocal expression conveys anger, the tone is furious",anger,95.2,34.8,5.3
"The vocal expression conveys joy, the tone is delighted",joy,76.7,51.0,2.64
The speaker sounds furious,anger,100.1,39.1,5.08
Voice analysis indicates fear with strong intensity,fear,88.6,28.9,8.66
"The vocal expression conveys disgust, the tone is repulsed",disgust,84.3,39.5,6.07
"Audio emotional state: joy, detected from speech prosody",joy,79.4,70.1,3.48
Voice analysis indicates joy with typical intensity,joy,71.9,65.6,2.26
Voice analysis indicates disgust with clear intensity,disgust,87.2,40.5,6.56
Audio segment classified as joy based on elated vocal characteristics,joy,78.8,79.3,3.49
Acoustic features suggest the person feels alarmed while delivering a spoken utterance,fear,89.3,36.3,9.98
Voice sadness indicator — the speaker sounds melancholy with noticeable expression,sadness,63.0,55.7,1.91
The speaker sounds exasperated,frustration,95.6,35.0,4.59
The speaker sounds angry,anger,110.0,35.1,5.84
Acoustic features suggest the person feels irate while delivering a descriptive statement,anger,101.3,35.0,5.56
Voice analysis indicates disgust with typical intensity,disgust,87.9,50.6,6.49
Voice analysis indicates sadness with clear intensity,sadness,67.2,52.5,1.45
The speaker sounds matter-of-fact,neutral,68.8,80.0,1.34
Acoustic features suggest the person feels alarmed while delivering a spoken utterance,fear,87.9,30.2,8.68
The speaker sounds irritated,anger,93.3,26.0,5.78
Voice analysis indicates excitement with typical intensity,excitement,105.2,47.7,5.13
"The vocal expression conveys fear, the tone is scared",fear,87.2,28.6,8.01
Audio segment classified as neutral based on even-toned vocal characteristics,neutral,74.5,76.9,1.6
Prosodic analysis of a social interaction phrase reveals normal fear,fear,98.5,40.4,8.75
Emotional tone: elated. Intensity level: moderate. Classification: joy,joy,86.3,54.5,2.71
Acoustic features suggest the person feels downcast while delivering an emotional statement,sadness,69.0,56.9,1.38
Emotional tone: melancholy. Intensity level: normal. Classification: sadness,sadness,68.3,46.5,1.44
The speaker's voice carries slight signs of being elated,joy,82.1,62.2,3.34
Prosodic analysis of a spoken utterance reveals distinct neutral,neutral,69.7,62.2,1.02
Emotional tone: disgusted. Intensity level: normal. Classification: disgust,disgust,74.8,44.6,4.34
Emotional tone: disgusted. Intensity level: standard. Classification: disgust,disgust,87.1,38.6,4.09
"Audio emotional state: anger, detected from speech prosody",anger,108.2,21.9,7.23
Speech emotion detection: animated voice pattern with normal arousal,excitement,101.9,47.9,4.03
The person is speaking in a uneasy tone suggesting anxiety,anxiety,89.2,31.7,8.77
"The vocal expression conveys disgust, the tone is repulsed",disgust,82.2,47.8,5.3
Prosodic analysis of a spoken utterance reveals moderate fear,fear,92.3,36.5,8.75
The person is speaking in a sickened tone suggesting disgust,disgust,87.6,53.5,5.43
"The vocal expression conveys fear, the tone is terrified",fear,89.4,33.7,6.88
"The vocal expression conveys neutral, the tone is impassive",neutral,73.0,56.4,1.27
Voice analysis indicates anger with standard intensity,anger,90.2,36.9,7.3
Speech emotion detection: taken aback voice pattern with moderate arousal,surprise,75.5,45.0,3.93
Emotional tone: gloomy. Intensity level: standard. Classification: sadness,sadness,63.1,57.3,1.46
Acoustic features suggest the person feels elated while delivering a spoken phrase,joy,77.0,72.2,2.01
Emotional tone: disdainful. Intensity level: distinct. Classification: contempt,contempt,81.1,30.1,4.38
Voice analysis indicates surprise with moderate intensity,surprise,91.3,39.6,5.22
Voice analysis indicates joy with moderate intensity,joy,74.2,72.8,3.04
Voice analysis indicates disgust with standard intensity,disgust,74.8,37.8,6.91
Emotional tone: repulsed. Intensity level: intense. Classification: disgust,disgust,85.2,49.8,5.75
Audio segment classified as anger based on angry vocal characteristics,anger,90.8,26.6,5.03
Emotional tone: fearful. Intensity level: moderate. Classification: fear,fear,80.3,34.7,8.68
Voice joy indicator — the speaker sounds pleased with moderate expression,joy,74.6,51.5,2.63
Prosodic analysis of a social interaction phrase reveals typical anger,anger,100.2,30.5,5.9
The speaker's voice carries moderate signs of being sickened,disgust,88.2,47.3,4.13
The speaker sounds calm,calm,61.1,67.6,1.36
Emotional tone: happy. Intensity level: standard. Classification: joy,joy,85.7,60.0,2.7
The speaker sounds gloomy,sadness,67.5,43.0,1.41
"The vocal expression conveys joy, the tone is elated",joy,88.6,52.0,2.32
Prosodic analysis of a spoken utterance reveals clear anger,anger,96.7,29.1,5.14
Prosodic analysis of a transactional statement reveals standard disgust,disgust,79.2,53.7,6.06
Audio segment classified as anxiety based on nervous vocal characteristics,anxiety,99.9,22.1,6.02
Speech emotion detection: scared voice pattern with intense arousal,fear,99.8,30.3,8.87
Voice analysis indicates fear with normal intensity,fear,104.1,31.9,7.26
Prosodic analysis of an emotional statement reveals faint joy,joy,88.2,57.7,2.62
Prosodic analysis of a factual statement reveals standard disgust,disgust,71.3,41.2,5.37
"The vocal expression conveys fear, the tone is alarmed",fear,104.4,40.8,9.02
The speaker's voice carries moderate signs of being frightened,fear,100.5,33.7,8.49
Prosodic analysis of a reflective statement reveals standard fear,fear,88.2,34.5,6.64
Voice analysis indicates surprise with moderate intensity,surprise,91.8,43.1,4.54
Voice analysis indicates anger with normal intensity,anger,89.3,22.8,6.48
Speech emotion detection: composed voice pattern with moderate arousal,neutral,67.6,60.6,1.27
Emotional tone: dejected. Intensity level: moderate. Classification: sadness,sadness,57.8,47.3,1.38
Prosodic analysis of a spoken utterance reveals evident anger,anger,98.1,39.0,7.37
Voice anger indicator — the speaker sounds livid with evident expression,anger,104.4,27.3,5.67
Prosodic analysis of a spoken utterance reveals noticeable sadness,sadness,64.8,54.1,1.0
The person is speaking in a enraged tone suggesting anger,anger,99.3,39.7,5.68
Voice analysis indicates neutral with noticeable intensity,neutral,69.2,68.8,1.25
"Audio emotional state: excitement, detected from speech prosody",excitement,98.6,43.1,5.57
The speaker sounds repulsed,disgust,85.9,48.4,6.51
"The vocal expression conveys neutral, the tone is impassive",neutral,74.3,64.2,1.46
"The vocal expression conveys joy, the tone is delighted",joy,86.3,66.9,2.13
The person is speaking in a nervous tone suggesting anxiety,anxiety,78.3,32.3,7.24
Speech emotion detection: happy voice pattern with typical arousal,joy,87.3,56.3,3.87
Prosodic analysis of a spoken utterance reveals evident joy,joy,73.2,74.9,3.71
The speaker's voice carries standard signs of being cheerful,joy,79.2,79.8,2.91
Emotional tone: frightened. Intensity level: normal. Classification: fear,fear,100.9,30.1,7.98
Emotional tone: melancholy. Intensity level: typical. Classification: sadness,sadness,68.8,57.8,1.88
Audio segment classified as fear based on fearful vocal characteristics,fear,102.2,42.8,8.87
Voice analysis indicates anger with standard intensity,anger,105.5,38.1,5.63
The speaker's voice carries distinct signs of being revolted,disgust,82.8,36.1,5.71
Emotional tone: cheerful. Intensity level: moderate. Classification: joy,joy,89.1,52.8,2.95
The speaker sounds joyful,joy,78.5,57.9,2.43
Speech emotion detection: appalled voice pattern with normal arousal,disgust,72.5,43.9,6.62
"The vocal expression conveys frustration, the tone is agitated",frustration,99.3,39.2,4.09
Voice sadness indicator — the speaker sounds gloomy with moderate expression,sadness,65.2,46.7,1.32
"Audio emotional state: disgust, detected from speech prosody",disgust,74.9,48.2,6.97
Prosodic analysis of a spoken utterance reveals evident joy,joy,85.1,73.1,2.85
Prosodic analysis of a workplace statement reveals moderate disgust,disgust,85.0,37.9,4.37
Prosodic analysis of a descriptive statement reveals moderate contempt,contempt,89.1,43.7,4.44
Prosodic analysis of a suggestive phrase reveals typical fear,fear,91.1,26.4,6.08
Voice analysis indicates disgust with normal intensity,disgust,78.2,44.1,6.4
The person is speaking in a irate tone suggesting anger,anger,105.8,30.4,7.33
Emotional tone: irate. Intensity level: clear. Classification: anger,anger,91.0,36.8,7.32
"Audio emotional state: calm, detected from speech prosody",calm,64.8,72.2,1.9
The speaker's voice carries distinct signs of being repulsed,disgust,83.8,52.3,4.36
The speaker sounds melancholy,sadness,56.3,50.4,1.95
Prosodic analysis of an emotional statement reveals clear disgust,disgust,75.4,47.7,4.23
Acoustic features suggest the person feels composed while delivering a thoughtful expression,neutral,68.2,64.8,1.72
Audio segment classified as joy based on pleased vocal characteristics,joy,81.8,54.3,2.19
Audio segment classified as surprise based on amazed vocal characteristics,surprise,79.7,49.7,5.37
Speech emotion detection: enraged voice pattern with typical arousal,anger,99.9,34.4,7.21
Acoustic features suggest the person feels disdainful while delivering a thoughtful expression,contempt,83.8,34.6,3.17
Voice frustration indicator — the speaker sounds vexed with normal expression,frustration,93.7,29.5,4.07
"The vocal expression conveys sadness, the tone is sorrowful",sadness,60.9,46.0,1.22
The speaker's voice carries slight signs of being annoyed,frustration,91.4,32.5,4.54
Acoustic features suggest the person feels neutral while delivering a transactional statement,neutral,61.4,55.1,1.1
The speaker sounds annoyed,frustration,87.1,39.0,4.9
Audio segment classified as sadness based on sad vocal characteristics,sadness,59.8,43.1,1.92
Acoustic features suggest the person feels anxious while delivering a workplace statement,anxiety,76.9,29.1,5.18
Acoustic features suggest the person feels downcast while delivering a suggestive phrase,sadness,68.7,42.1,1.89
The speaker sounds downcast,sadness,65.9,48.1,1.63
Voice neutral indicator — the speaker sounds neutral with typical expression,neutral,60.8,77.7,1.39
Prosodic analysis of a spoken utterance reveals clear contempt,contempt,82.3,33.7,3.47
"Audio emotional state: joy, detected from speech prosody",joy,71.3,64.7,2.76
"The vocal expression conveys anger, the tone is enraged",anger,100.7,33.0,5.57
Audio segment classified as sadness based on downcast vocal characteristics,sadness,66.9,40.4,1.25
The person is speaking in a taken aback tone suggesting surprise,surprise,76.3,53.1,3.68
The person is speaking in a sickened tone suggesting disgust,disgust,78.6,47.1,4.1
Prosodic analysis of a spoken phrase reveals moderate fear,fear,98.6,32.4,7.17
The speaker sounds delighted,joy,79.1,74.3,3.24
"The vocal expression conveys joy, the tone is delighted",joy,80.8,75.6,2.61
Emotional tone: energized. Intensity level: normal. Classification: excitement,excitement,109.6,51.8,5.35
Speech emotion detection: gloomy voice pattern with moderate arousal,sadness,68.1,40.4,1.24
"The vocal expression conveys fear, the tone is panicked",fear,95.4,33.6,9.83
The speaker's voice carries moderate signs of being terrified,fear,100.2,26.4,8.4
Emotional tone: disgusted. Intensity level: noticeable. Classification: disgust,disgust,75.9,36.1,6.46
Acoustic features suggest the person feels tense while delivering a spoken utterance,anxiety,84.4,37.3,6.94
Voice analysis indicates surprise with moderate intensity,surprise,89.8,43.9,5.02
Emotional tone: enraged. Intensity level: distinct. Classification: anger,anger,108.6,34.2,7.02
The speaker sounds irate,anger,91.9,39.9,7.17
Prosodic analysis of an emotional statement reveals clear fear,fear,83.7,43.9,8.99
Emotional tone: sad. Intensity level: typical. Classification: sadness,sadness,66.0,53.7,1.77
Emotional tone: furious. Intensity level: noticeable. Classification: anger,anger,96.5,22.5,7.59
Audio segment classified as anger based on incensed vocal characteristics,anger,103.4,31.1,5.65
Acoustic features suggest the person feels repulsed while delivering a thoughtful expression,disgust,80.0,42.7,5.42
The speaker sounds appalled,disgust,80.4,47.0,4.9
Voice analysis indicates joy with noticeable intensity,joy,87.1,57.2,2.91
Audio segment classified as fear based on alarmed vocal characteristics,fear,81.6,34.0,7.45
Prosodic analysis of a reflective statement reveals moderate sadness,sadness,68.1,46.7,1.75
The speaker's voice carries moderate signs of being scared,fear,100.2,42.1,6.39
The person is speaking in a frightened tone suggesting fear,fear,87.4,44.4,8.32
Voice analysis indicates sadness with distinct intensity,sadness,68.9,51.3,1.1
Prosodic analysis of a spoken phrase reveals standard calm,calm,60.0,86.8,1.62
"The vocal expression conveys surprise, the tone is taken aback",surprise,84.4,38.8,4.34
Acoustic features suggest the person feels matter-of-fact while delivering an emotional statement,neutral,66.9,68.2,1.04
Prosodic analysis of a conversational statement reveals typical joy,joy,74.7,55.5,3.84
Voice joy indicator — the speaker sounds cheerful with moderate expression,joy,71.2,74.8,2.53
Prosodic analysis of a spoken phrase reveals normal calm,calm,58.2,77.0,1.78
Acoustic features suggest the person feels revolted while delivering a spoken phrase,disgust,72.2,37.6,4.52
Speech emotion detection: delighted voice pattern with standard arousal,joy,71.5,62.6,2.56
The person is speaking in a matter-of-fact tone suggesting neutral,neutral,68.1,64.3,1.6
Voice analysis indicates fear with moderate intensity,fear,89.2,25.1,8.67
Prosodic analysis of a reflective statement reveals moderate frustration,frustration,92.3,30.0,4.34
The person is speaking in a gloomy tone suggesting sadness,sadness,57.1,46.5,1.22
Prosodic analysis of a thoughtful expression reveals typical disgust,disgust,84.5,54.4,4.92
The speaker's voice carries distinct signs of being stunned,surprise,91.5,35.3,4.6
Audio segment classified as fear based on frightened vocal characteristics,fear,91.7,35.9,8.82
Prosodic analysis of a spoken utterance reveals noticeable anger,anger,100.5,24.4,5.55
Voice contempt indicator — the speaker sounds disdainful with standard expression,contempt,86.7,34.9,4.72
Prosodic analysis of a spoken utterance reveals evident joy,joy,80.9,65.7,3.28
The person is speaking in a sad tone suggesting sadness,sadness,57.7,55.4,1.97
The person is speaking in a astonished tone suggesting surprise,surprise,92.5,36.8,3.44
The speaker sounds alarmed,fear,98.0,32.2,9.35
Acoustic features suggest the person feels panicked while delivering a spoken utterance,fear,92.8,28.9,9.65
Acoustic features suggest the person feels angry while delivering a spoken utterance,anger,88.1,29.6,5.9
Acoustic features suggest the person feels taken aback while delivering a spoken utterance,surprise,83.9,50.4,5.16
The person is speaking in a derisive tone suggesting contempt,contempt,86.9,36.4,4.07
Voice fear indicator — the speaker sounds frightened with clear expression,fear,97.0,33.1,6.66
Voice analysis indicates joy with slight intensity,joy,78.4,78.0,3.94
The speaker sounds joyful,joy,79.4,50.2,3.23
The speaker's voice carries typical signs of being composed,neutral,73.6,76.6,1.65
Acoustic features suggest the person feels disdainful while delivering an emotional statement,contempt,86.2,34.8,3.85
Voice analysis indicates disgust with distinct intensity,disgust,86.9,52.6,6.11
Speech emotion detection: terrified voice pattern with normal arousal,fear,104.3,27.9,7.16
"Audio emotional state: joy, detected from speech prosody",joy,78.6,58.5,2.69
Voice analysis indicates sadness with typical intensity,sadness,64.2,55.4,1.45
Voice analysis indicates anger with moderate intensity,anger,105.6,22.8,7.81
Emotional tone: appalled. Intensity level: noticeable. Classification: disgust,disgust,74.9,38.2,5.45
Emotional tone: fearful. Intensity level: clear. Classification: fear,fear,81.0,40.1,7.88
Voice sadness indicator — the speaker sounds melancholy with normal expression,sadness,65.5,49.9,1.05
Prosodic analysis of an emotional statement reveals subtle joy,joy,86.7,77.2,2.76
The person is speaking in a cheerful tone suggesting joy,joy,72.6,69.2,2.3
Voice analysis indicates neutral with normal intensity,neutral,63.9,76.6,1.55
"The vocal expression conveys disgust, the tone is disgusted",disgust,79.9,47.8,4.34
The person is speaking in a anguished tone suggesting grief,grief,62.2,37.8,1.04
The speaker sounds pleased,joy,86.9,74.7,2.31
Prosodic analysis of an emotional statement reveals low joy,joy,88.4,60.9,3.37
The speaker's voice carries typical signs of being sad,sadness,67.0,41.6,1.9
The person is speaking in a excited tone suggesting excitement,excitement,109.8,53.9,6.54
Acoustic features suggest the person feels appalled while delivering an emotional statement,disgust,76.2,49.7,6.68
Emotional tone: stunned. Intensity level: clear. Classification: surprise,surprise,87.1,54.1,3.84
The speaker's voice carries evident signs of being delighted,joy,77.3,59.8,2.8
Speech emotion detection: amazed voice pattern with distinct arousal,surprise,94.9,49.5,5.06
Prosodic analysis of an emotional statement reveals distinct anger,anger,97.7,38.9,6.33
Acoustic features suggest the person feels happy while delivering an emotional statement,joy,70.1,63.4,2.65
"The vocal expression conveys fear, the tone is terrified",fear,83.0,33.3,9.45
Prosodic analysis of a motivational sentence reveals normal sadness,sadness,65.2,52.9,1.25
Audio segment classified as sadness based on sorrowful vocal characteristics,sadness,69.5,44.4,1.55
Speech emotion detection: angry voice pattern with evident arousal,anger,98.0,20.1,6.35
The person is speaking in a tense tone suggesting anxiety,anxiety,97.0,34.3,6.98
"The vocal expression conveys fear, the tone is scared",fear,100.4,34.2,8.26
Acoustic features suggest the person feels amazed while delivering a spoken utterance,surprise,85.4,46.3,4.68
Prosodic analysis of a factual statement reveals moderate fear,fear,90.8,26.9,8.16
The speaker's voice carries standard signs of being furious,anger,104.8,29.4,7.76
The speaker's voice carries normal signs of being even-toned,neutral,67.6,55.3,1.0
Emotional tone: anguished. Intensity level: normal. Classification: grief,grief,66.2,39.8,1.15
The speaker sounds dejected,sadness,56.3,47.7,1.42
Voice analysis indicates sadness with standard intensity,sadness,60.5,44.4,1.76
The person is speaking in a sickened tone suggesting disgust,disgust,88.4,51.1,6.92
Prosodic analysis of a spoken utterance reveals noticeable surprise,surprise,84.2,50.8,3.4
The speaker sounds animated,excitement,108.4,46.1,4.85
"Audio emotional state: surprise, detected from speech prosody",surprise,97.5,43.9,3.26
The person is speaking in a gloomy tone suggesting sadness,sadness,69.3,55.9,1.84
The person is speaking in a disgusted tone suggesting disgust,disgust,81.1,38.6,6.51
Acoustic features suggest the person feels matter-of-fact while delivering a spoken phrase,neutral,74.1,59.2,1.67
Prosodic analysis of a thoughtful expression reveals moderate neutral,neutral,61.6,74.3,1.04
Audio segment classified as grief based on devastated vocal characteristics,grief,66.5,45.0,2.3
The speaker's voice carries moderate signs of being angry,anger,88.1,38.8,7.56
"The vocal expression conveys fear, the tone is frightened",fear,96.4,30.5,7.65
"Audio emotional state: neutral, detected from speech prosody",neutral,68.9,78.7,1.35
Speech emotion detection: panicked voice pattern with normal arousal,fear,94.6,28.0,8.3
The speaker sounds disgusted,disgust,72.5,38.6,4.13
Prosodic analysis of a spoken utterance reveals clear disgust,disgust,88.5,46.5,4.1
"The vocal expression conveys anger, the tone is irate",anger,97.3,26.4,6.19
The speaker's voice carries moderate signs of being dejected,sadness,57.1,54.9,1.24
Voice analysis indicates sadness with moderate intensity,sadness,59.8,48.6,1.65
Voice joy indicator — the speaker sounds pleased with moderate expression,joy,83.7,68.7,2.9
Speech emotion detection: terrified voice pattern with standard arousal,fear,87.1,26.7,9.69
The speaker's voice carries slight signs of being scornful,contempt,81.2,37.5,3.23
The speaker sounds apprehensive,anxiety,75.1,35.4,7.55
Prosodic analysis of a factual statement reveals moderate disgust,disgust,77.5,43.7,5.56
The speaker's voice carries standard signs of being scared,fear,91.2,34.3,6.82
Voice sadness indicator — the speaker sounds gloomy with normal expression,sadness,62.4,46.7,1.98
Emotional tone: delighted. Intensity level: moderate. Classification: joy,joy,87.2,53.9,3.13
Audio segment classified as fear based on panicked vocal characteristics,fear,86.6,28.0,6.13
Voice analysis indicates joy with normal intensity,joy,71.9,78.4,3.44
Voice analysis indicates disgust with clear intensity,disgust,70.7,36.4,6.18
Speech emotion detection: impassive voice pattern with normal arousal,neutral,70.3,72.3,1.65
Speech emotion detection: contemptuous voice pattern with subtle arousal,contempt,89.3,35.3,3.74
Voice joy indicator — the speaker sounds cheerful with noticeable expression,joy,83.0,51.3,3.81
Emotional tone: enraged. Intensity level: standard. Classification: anger,anger,89.6,22.2,7.85
"The vocal expression conveys anger, the tone is irate",anger,108.2,22.1,7.36
Speech emotion detection: incensed voice pattern with noticeable arousal,anger,100.9,21.7,5.92
Speech emotion detection: terrified voice pattern with moderate arousal,fear,82.7,30.6,8.93
Voice analysis indicates calm with moderate intensity,calm,59.7,70.0,1.1
Audio segment classified as contempt based on scornful vocal characteristics,contempt,87.6,42.8,3.76
The person is speaking in a anxious tone suggesting anxiety,anxiety,86.5,25.0,5.73
Audio segment classified as joy based on delighted vocal characteristics,joy,81.6,73.1,2.96
The speaker sounds terrified,fear,104.3,28.8,8.66
"Audio emotional state: disgust, detected from speech prosody",disgust,88.2,41.6,4.65
Prosodic analysis of a thoughtful expression reveals standard anger,anger,92.6,22.2,5.02
Audio segment classified as contempt based on disdainful vocal characteristics,contempt,87.1,39.9,4.56
The person is speaking in a frustrated tone suggesting frustration,frustration,80.1,36.1,5.02
Speech emotion detection: livid voice pattern with distinct arousal,anger,92.6,24.4,7.12
Acoustic features suggest the person feels livid while delivering a transactional statement,anger,94.6,29.0,5.57
Prosodic analysis of a spoken utterance reveals clear sadness,sadness,60.5,48.9,1.26
Speech emotion detection: excited voice pattern with extreme arousal,excitement,106.6,55.2,5.21
Audio segment classified as joy based on joyful vocal characteristics,joy,76.2,74.6,2.17
The speaker sounds enraged,anger,95.6,37.0,5.8
Speech emotion detection: matter-of-fact voice pattern with standard arousal,neutral,64.4,57.0,1.83
The speaker sounds matter-of-fact,neutral,70.4,69.1,1.41
Speech emotion detection: fearful voice pattern with standard arousal,fear,98.5,39.6,6.93
Audio segment classified as contempt based on scornful vocal characteristics,contempt,88.6,38.9,4.86
The person is speaking in a sorrowful tone suggesting sadness,sadness,68.5,56.1,1.8
Prosodic analysis of a spoken phrase reveals moderate calm,calm,68.2,61.3,1.87
Voice analysis indicates frustration with low intensity,frustration,94.1,32.3,6.01
Speech emotion detection: tranquil voice pattern with typical arousal,calm,70.0,77.8,1.0
The speaker's voice carries normal signs of being livid,anger,100.4,38.4,7.9
Voice grief indicator — the speaker sounds heartbroken with typical expression,grief,53.3,45.6,1.35
Voice analysis indicates disgust with standard intensity,disgust,85.9,38.1,6.17
Audio segment classified as disgust based on repulsed vocal characteristics,disgust,86.5,45.5,5.89
Voice anger indicator — the speaker sounds furious with strong expression,anger,108.7,21.6,6.1
"The vocal expression conveys sadness, the tone is downcast",sadness,59.5,56.2,1.79
Emotional tone: serene. Intensity level: moderate. Classification: calm,calm,58.1,67.1,1.92
Audio segment classified as anger based on enraged vocal characteristics,anger,107.1,22.6,5.11
The speaker's voice carries typical signs of being panicked,fear,93.9,25.8,9.04
"Audio emotional state: sadness, detected from speech prosody",sadness,66.9,42.4,1.74
Speech emotion detection: dejected voice pattern with typical arousal,sadness,62.1,41.0,1.66
"Audio emotional state: fear, detected from speech prosody",fear,89.2,38.8,9.64
Emotional tone: fearful. Intensity level: typical. Classification: fear,fear,84.5,27.5,6.9
"The vocal expression conveys surprise, the tone is startled",surprise,77.4,48.6,3.85
"Audio emotional state: anger, detected from speech prosody",anger,106.1,39.9,5.62
The speaker's voice carries normal signs of being scared,fear,80.3,39.2,7.7
The person is speaking in a happy tone suggesting joy,joy,75.2,75.6,2.1
Prosodic analysis of a spoken utterance reveals clear frustration,frustration,88.3,42.4,6.61
Voice disgust indicator — the speaker sounds repulsed with noticeable expression,disgust,82.7,43.5,6.9
"Audio emotional state: sadness, detected from speech prosody",sadness,69.2,55.6,1.08
Acoustic features suggest the person feels fearful while delivering a motivational sentence,fear,102.6,33.0,9.66
The speaker's voice carries moderate signs of being gloomy,sadness,61.1,42.9,1.95
Emotional tone: furious. Intensity level: noticeable. Classification: anger,anger,93.2,28.8,5.8
"Audio emotional state: frustration, detected from speech prosody",frustration,90.8,28.9,6.95
The speaker's voice carries typical signs of being placid,calm,61.2,89.6,1.45
Voice neutral indicator — the speaker sounds neutral with moderate expression,neutral,68.6,71.7,1.19
Audio segment classified as neutral based on matter-of-fact vocal characteristics,neutral,66.8,61.1,1.98
Voice analysis indicates sadness with normal intensity,sadness,64.7,56.8,1.31
Audio segment classified as disgust based on revolted vocal characteristics,disgust,75.8,40.3,4.73
Voice joy indicator — the speaker sounds elated with noticeable expression,joy,83.7,54.7,2.99
Acoustic features suggest the person feels excited while delivering a transactional statement,excitement,89.5,42.8,5.86
"Audio emotional state: calm, detected from speech prosody",calm,68.7,72.4,1.51
The speaker sounds frightened,fear,94.2,36.1,9.18
Prosodic analysis of a spoken phrase reveals normal sadness,sadness,61.9,59.4,1.88
Voice contempt indicator — the speaker sounds dismissive with low expression,contempt,88.3,35.6,3.93
The speaker sounds alarmed,fear,95.1,31.0,8.08
Audio segment classified as anxiety based on uneasy vocal characteristics,anxiety,93.4,29.2,6.06
Voice fear indicator — the speaker sounds terrified with noticeable expression,fear,92.4,39.0,7.73
The speaker sounds annoyed,frustration,88.1,38.3,5.14
Acoustic features suggest the person feels frustrated while delivering an emotional statement,frustration,97.4,42.1,4.39
The speaker sounds irate,anger,87.2,26.5,5.11
